Season,League,Date,Time,Home,Away,HG,AG,Res,AvgCH,AvgCD,AvgCA
2022/2023,Bundesliga,05/08/2022,19:30,Ein Frankfurt,Bayern Munich,1,6,A,5.97,5.08,1.47
2022/2023,Bundesliga,06/08/2022,14:30,Augsburg,Freiburg,0,4,A,3.46,3.51,2.14
2022/2023,Bundesliga,06/08/2022,14:30,Bochum,Mainz,1,2,A,3.31,3.43,2.23
2022/2023,Bundesliga,06/08/2022,14:30,M'gladbach,Hoffenheim,3,1,H,2.05,3.97,3.31
2022/2023,Bundesliga,06/08/2022,14:30,Union Berlin,Hertha,3,1,H,1.87,3.62,4.3
2022/2023,Bundesliga,06/08/2022,14:30,Wolfsburg,Werder Bremen,2,2,D,2.08,3.63,3.5
2022/2023,Bundesliga,06/08/2022,17:30,Dortmund,Leverkusen,1,0,H,2.05,3.98,3.26
2022/2023,Bundesliga,07/08/2022,14:30,Stuttgart,RB Leipzig,1,1,D,3.79,3.72,1.96
2022/2023,Bundesliga,07/08/2022,16:30,FC Koln,Schalke 04,3,1,H,2.01,3.67,3.65
2022/2023,Bundesliga,12/08/2022,19:30,Freiburg,Dortmund,1,3,A,2.98,3.7,2.3
2022/2023,Bundesliga,13/08/2022,14:30,Hertha,Ein Frankfurt,1,1,D,3.02,3.61,2.3
2022/2023,Bundesliga,13/08/2022,14:30,Hoffenheim,Bochum,3,2,H,1.58,4.5,5.29
2022/2023,Bundesliga,13/08/2022,14:30,Leverkusen,Augsburg,1,2,A,1.31,6.01,9.15
2022/2023,Bundesliga,13/08/2022,14:30,RB Leipzig,FC Koln,2,2,D,1.44,4.98,6.78
2022/2023,Bundesliga,13/08/2022,14:30,Werder Bremen,Stuttgart,2,2,D,2.3,3.6,3.04
2022/2023,Bundesliga,13/08/2022,17:30,Schalke 04,M'gladbach,2,2,D,3.21,3.74,2.13
2022/2023,Bundesliga,14/08/2022,14:30,Mainz,Union Berlin,0,0,D,2.26,3.3,3.38
2022/2023,Bundesliga,14/08/2022,16:30,Bayern Munich,Wolfsburg,2,0,H,1.15,8.91,15.24
2022/2023,Bundesliga,19/08/2022,19:30,M'gladbach,Hertha,1,0,H,1.52,4.76,5.87
2022/2023,Bundesliga,20/08/2022,14:30,Augsburg,Mainz,1,2,A,3.8,3.61,1.99
2022/2023,Bundesliga,20/08/2022,14:30,Dortmund,Werder Bremen,2,3,A,1.41,5.17,7.21
2022/2023,Bundesliga,20/08/2022,14:30,Leverkusen,Hoffenheim,0,3,A,1.61,4.59,4.94
2022/2023,Bundesliga,20/08/2022,14:30,Stuttgart,Freiburg,0,1,A,2.67,3.55,2.56
2022/2023,Bundesliga,20/08/2022,14:30,Wolfsburg,Schalke 04,0,0,D,1.85,3.88,4.1
2022/2023,Bundesliga,20/08/2022,17:30,Union Berlin,RB Leipzig,2,1,H,3.33,3.48,2.21
2022/2023,Bundesliga,21/08/2022,14:30,Ein Frankfurt,FC Koln,1,1,D,2.12,3.75,3.3
2022/2023,Bundesliga,21/08/2022,16:30,Bochum,Bayern Munich,0,7,A,12.95,8.13,1.19
2022/2023,Bundesliga,26/08/2022,19:30,Freiburg,Bochum,1,0,H,1.51,4.55,6.08
2022/2023,Bundesliga,27/08/2022,14:30,Hertha,Dortmund,0,1,A,4.29,4.34,1.73
2022/2023,Bundesliga,27/08/2022,14:30,Hoffenheim,Augsburg,1,0,H,1.43,5.11,6.84
2022/2023,Bundesliga,27/08/2022,14:30,Mainz,Leverkusen,0,3,A,2.41,3.62,2.86
2022/2023,Bundesliga,27/08/2022,14:30,RB Leipzig,Wolfsburg,2,0,H,1.56,4.51,5.67
2022/2023,Bundesliga,27/08/2022,14:30,Schalke 04,Union Berlin,1,6,A,3.14,3.4,2.32
2022/2023,Bundesliga,27/08/2022,17:30,Bayern Munich,M'gladbach,1,1,D,1.18,8.71,12.8
2022/2023,Bundesliga,28/08/2022,14:30,FC Koln,Stuttgart,0,0,D,2.34,3.53,3
2022/2023,Bundesliga,28/08/2022,16:30,Werder Bremen,Ein Frankfurt,3,4,A,2.37,3.59,2.92
2022/2023,Bundesliga,02/09/2022,19:30,Dortmund,Hoffenheim,1,0,H,1.79,4.15,4.09
2022/2023,Bundesliga,03/09/2022,14:30,Bochum,Werder Bremen,0,2,A,3.08,3.65,2.26
2022/2023,Bundesliga,03/09/2022,14:30,Leverkusen,Freiburg,2,3,A,1.83,3.89,4.19
2022/2023,Bundesliga,03/09/2022,14:30,Stuttgart,Schalke 04,1,1,D,1.71,4,4.84
2022/2023,Bundesliga,03/09/2022,14:30,Union Berlin,Bayern Munich,1,1,D,7.49,5.5,1.38
2022/2023,Bundesliga,03/09/2022,14:30,Wolfsburg,FC Koln,2,4,A,2.19,3.49,3.36
2022/2023,Bundesliga,03/09/2022,17:30,Ein Frankfurt,RB Leipzig,4,0,H,3.45,3.68,2.09
2022/2023,Bundesliga,04/09/2022,14:30,Augsburg,Hertha,0,2,A,2.54,3.45,2.8
