Season,League,Date,Time,Home,Away,HG,AG,Res,AvgCH,AvgCD,AvgCA
2022/2023,Eredivisie,05/08/2022,19:00,Heerenveen,Sparta Rotterdam,0,0,D,1.86,3.53,4.16
2022/2023,Eredivisie,06/08/2022,15:30,For Sittard,Ajax,2,3,A,10.42,6.62,1.24
2022/2023,Eredivisie,06/08/2022,17:45,Cambuur,Excelsior,0,2,A,1.87,4.03,3.69
2022/2023,Eredivisie,06/08/2022,19:00,PSV Eindhoven,FC Emmen,4,1,H,1.18,7.33,14.23
2022/2023,Eredivisie,06/08/2022,20:00,Waalwijk,Utrecht,2,2,D,3.8,3.72,1.91
2022/2023,Eredivisie,07/08/2022,11:15,Groningen,Volendam,2,2,D,1.58,4.3,5.31
2022/2023,Eredivisie,07/08/2022,13:30,Nijmegen,Twente,0,1,A,3.14,3.42,2.24
2022/2023,Eredivisie,07/08/2022,13:30,Vitesse,Feyenoord,2,5,A,3.62,3.74,1.95
2022/2023,Eredivisie,07/08/2022,15:45,AZ Alkmaar,Go Ahead Eagles,2,0,H,1.38,4.72,8.24
2022/2023,Eredivisie,12/08/2022,19:00,Excelsior,Vitesse,3,1,H,3.77,4.07,1.84
2022/2023,Eredivisie,13/08/2022,17:45,Go Ahead Eagles,PSV Eindhoven,2,5,A,6.34,4.64,1.47
2022/2023,Eredivisie,13/08/2022,19:00,FC Emmen,Waalwijk,1,1,D,1.91,3.59,3.99
2022/2023,Eredivisie,13/08/2022,19:00,Utrecht,Cambuur,0,0,D,1.53,4.53,5.58
2022/2023,Eredivisie,13/08/2022,20:00,Feyenoord,Heerenveen,0,0,D,1.35,5.44,7.79
2022/2023,Eredivisie,14/08/2022,11:15,Volendam,Nijmegen,1,4,A,2.91,3.78,2.25
2022/2023,Eredivisie,14/08/2022,13:30,Ajax,Groningen,6,1,H,1.15,8.61,14.95
2022/2023,Eredivisie,14/08/2022,13:30,Twente,For Sittard,3,0,H,1.44,4.62,6.84
2022/2023,Eredivisie,14/08/2022,15:45,Sparta Rotterdam,AZ Alkmaar,2,3,A,4.01,3.54,1.92
2022/2023,Eredivisie,20/08/2022,15:30,Vitesse,Heerenveen,0,4,A,2.21,3.45,3.22
2022/2023,Eredivisie,20/08/2022,17:45,For Sittard,Cambuur,1,4,A,2.27,3.69,2.92
2022/2023,Eredivisie,20/08/2022,20:00,FC Emmen,Utrecht,3,2,H,2.76,3.45,2.48
2022/2023,Eredivisie,21/08/2022,11:15,Groningen,Go Ahead Eagles,1,0,H,1.92,3.58,3.94
2022/2023,Eredivisie,21/08/2022,13:30,Sparta Rotterdam,Ajax,0,1,A,11.02,6.26,1.24
2022/2023,Eredivisie,21/08/2022,15:45,Waalwijk,Feyenoord,0,1,A,6.93,5.12,1.4
2022/2023,Eredivisie,26/08/2022,19:00,Nijmegen,Groningen,1,1,D,2.05,3.51,3.52
2022/2023,Eredivisie,27/08/2022,15:30,Go Ahead Eagles,Sparta Rotterdam,0,1,A,2.51,3.25,2.89
2022/2023,Eredivisie,27/08/2022,17:45,Vitesse,Waalwijk,2,2,D,1.81,3.76,4.23
2022/2023,Eredivisie,27/08/2022,19:00,Feyenoord,FC Emmen,4,0,H,1.29,5.79,9.56
2022/2023,Eredivisie,27/08/2022,20:00,Heerenveen,For Sittard,2,1,H,1.62,4.08,5.2
2022/2023,Eredivisie,28/08/2022,11:15,Utrecht,Ajax,0,2,A,6.27,5.2,1.42
