match_id,season,league,market,selection,early_odds,close_odds,p_early,p_close,move_pp,avg_move_pp,won,profit,profit_close
P1|2425|09/08/2024|Sp Lisbon|Rio Ave,2425,P1,1X2,H,1.17,1.13,0.8088978766430739,0.8435843192561834,3.468644261310949,3.3841251174653864,True,0.16999999999999993,0.1299999999999999
P1|2425|09/08/2024|Sp Lisbon|Rio Ave,2425,P1,1X2,D,8.0,9.5,0.11830131445904954,0.10034213481678811,-1.7959179642261431,-1.98475316259398,False,-1.0,-1.0
P1|2425|09/08/2024|Sp Lisbon|Rio Ave,2425,P1,1X2,A,13.0,17.0,0.07280080889787664,0.05607354592702865,-1.6727262970847991,-1.3993719548713972,False,-1.0,-1.0
P1|2425|09/08/2024|Sp Lisbon|Rio Ave,2425,P1,OU2.5,Over,1.44,1.36,0.6521739130434782,0.695067264573991,4.289335153051288,4.024704837138604,True,0.43999999999999995,0.3600000000000001
P1|2425|09/08/2024|Sp Lisbon|Rio Ave,2425,P1,OU2.5,Under,2.7,3.1,0.3478260869565217,0.30493273542600896,-4.2893351530512716,-4.024704837138604,False,-1.0,-1.0
P1|2425|10/08/2024|AVS|Nacional,2425,P1,1X2,H,2.25,2.05,0.41746111389864526,0.45971385542168675,4.225274152304149,4.419771083111024,False,-1.0,-1.0
P1|2425|10/08/2024|AVS|Nacional,2425,P1,1X2,D,3.25,3.3,0.28901154039136984,0.2855798192771084,-0.34317211142614323,-0.600651041379896,True,2.25,2.3
P1|2425|10/08/2024|AVS|Nacional,2425,P1,1X2,A,3.2,3.7,0.29352734570998495,0.25470632530120474,-3.8821020408780216,-3.819120041731111,False,-1.0,-1.0
P1|2425|10/08/2024|AVS|Nacional,2425,P1,OU2.5,Over,2.08,2.08,0.4540682414698162,0.4540682414698162,0.0,-0.11830939947781727,False,-1.0,-1.0
P1|2425|10/08/2024|AVS|Nacional,2425,P1,OU2.5,Under,1.73,1.73,0.5459317585301837,0.5459317585301837,0.0,0.11830939947780061,True,0.73,0.73
P1|2425|10/08/2024|Casa Pia|Boavista,2425,P1,1X2,H,1.91,1.9,0.4903728275762602,0.5005950559352579,1.0222228358997665,-0.13055710615001992,False,-1.0,-1.0
P1|2425|10/08/2024|Casa Pia|Boavista,2425,P1,1X2,D,3.4,3.4,0.2754741472560756,0.2797442959638206,0.4270148707745003,1.0467435634437416,False,-1.0,-1.0
P1|2425|10/08/2024|Casa Pia|Boavista,2425,P1,1X2,A,4.0,4.33,0.23415302516766426,0.21966064810092148,-1.4492377066742779,-0.9161864572937245,True,3.0,3.33
P1|2425|10/08/2024|Casa Pia|Boavista,2425,P1,OU2.5,Over,2.08,2.2,0.4540682414698162,0.4285714285714286,-2.5496812898387624,-2.7662330652561073,False,-1.0,-1.0
P1|2425|10/08/2024|Casa Pia|Boavista,2425,P1,OU2.5,Under,1.73,1.65,0.5459317585301837,0.5714285714285715,2.549681289838779,2.7662330652561296,True,0.73,0.6499999999999999
P1|2425|10/08/2024|Porto|Gil Vicente,2425,P1,1X2,H,1.18,1.18,0.7935216082037927,0.794066317626527,0.05447094227343241,-3.058162325751601,True,0.17999999999999994,0.17999999999999994
P1|2425|10/08/2024|Porto|Gil Vicente,2425,P1,1X2,D,6.5,7.0,0.14405469195084236,0.1338568935427574,-1.0197798408084964,1.7005770127819648,False,-1.0,-1.0
P1|2425|10/08/2024|Porto|Gil Vicente,2425,P1,1X2,A,15.0,13.0,0.06242369984536501,0.07207678883071553,0.9653088985350513,1.3575853129696378,False,-1.0,-1.0
P1|2425|10/08/2024|Porto|Gil Vicente,2425,P1,OU2.5,Over,1.53,1.57,0.6106870229007634,0.5994897959183673,-1.1197226982396113,-1.483765053824082,True,0.53,0.5700000000000001
P1|2425|10/08/2024|Porto|Gil Vicente,2425,P1,OU2.5,Under,2.4,2.35,0.3893129770992367,0.4005102040816326,1.1197226982395947,1.4837650538240765,False,-1.0,-1.0
P1|2425|11/08/2024|Estoril|Santa Clara,2425,P1,1X2,H,2.15,2.7,0.4365343242714649,0.34912718204488774,-8.740714222657713,-7.877693288735054,False,-1.0,-1.0
P1|2425|11/08/2024|Estoril|Santa Clara,2425,P1,1X2,D,3.1,3.0,0.30275767651085467,0.31421446384039897,1.1456787329544305,1.886920391913316,False,-1.0,-1.0
P1|2425|11/08/2024|Estoril|Santa Clara,2425,P1,1X2,A,3.6,2.8,0.26070799921768045,0.3366583541147132,7.595035489703273,5.990772896821733,True,2.6,1.7999999999999998
P1|2425|11/08/2024|Estoril|Santa Clara,2425,P1,OU2.5,Over,2.35,2.5,0.4005102040816326,0.375,-2.5510204081632626,-1.8415985353073039,True,1.35,1.5
P1|2425|11/08/2024|Estoril|Santa Clara,2425,P1,OU2.5,Under,1.57,1.5,0.5994897959183673,0.625,2.5510204081632737,1.8415985353073094,False,-1.0,-1.0
P1|2425|11/08/2024|Famalicao|Benfica,2425,P1,1X2,H,7.0,5.75,0.13373025745734066,0.16295192346076567,2.9221666003425018,2.076231997770411,True,6.0,4.75
P1|2425|11/08/2024|Famalicao|Benfica,2425,P1,1X2,D,4.33,3.9,0.2161921021250311,0.24024963074343658,2.405752861840549,1.9213857522992595,False,-1.0,-1.0
P1|2425|11/08/2024|Famalicao|Benfica,2425,P1,1X2,A,1.44,1.57,0.6500776404176282,0.5967984457957978,-5.32791946218304,-3.997617750069671,False,-1.0,-1.0
P1|2425|11/08/2024|Famalicao|Benfica,2425,P1,OU2.5,Over,1.57,1.73,0.5994897959183673,0.5459317585301837,-5.355803738818354,-3.76270692237346,False,-1.0,-1.0
P1|2425|11/08/2024|Famalicao|Benfica,2425,P1,OU2.5,Under,2.35,2.08,0.4005102040816326,0.4540682414698162,5.35580373881836,3.7627069223734546,True,1.35,1.08
P1|2425|11/08/2024|Farense|Moreirense,2425,P1,1X2,H,2.9,2.7,0.3225139549307422,0.3483876309144347,2.58736759836925,2.0656548334299583,False,-1.0,-1.0
P1|2425|11/08/2024|Farense|Moreirense,2425,P1,1X2,D,3.25,3.2,0.28778168286127764,0.2939520635840543,0.6170380722776647,0.33162510743050544,False,-1.0,-1.0
P1|2425|11/08/2024|Farense|Moreirense,2425,P1,1X2,A,2.4,2.63,0.3897043622079801,0.35766030550151096,-3.204405670646915,-2.397279940860464,True,1.4,1.63
P1|2425|11/08/2024|Farense|Moreirense,2425,P1,OU2.5,Over,2.15,2.25,0.43717277486910994,0.4186046511627907,-1.8568123706319217,-1.6280626589904867,True,1.15,1.25
P1|2425|11/08/2024|Farense|Moreirense,2425,P1,OU2.5,Under,1.67,1.62,0.5628272251308901,0.5813953488372093,1.8568123706319217,1.6280626589904923,False,-1.0,-1.0
P1|2425|11/08/2024|Sp Braga|Estrela,2425,P1,1X2,H,1.38,1.45,0.6781838949171902,0.6418691631412705,-3.6314731775919706,-2.9719446836607655,False,-1.0,-1.0
P1|2425|11/08/2024|Sp Braga|Estrela,2425,P1,1X2,D,4.75,4.33,0.1970302684180468,0.2149446389272153,1.7914370509168498,1.8033860660778334,True,3.75,3.33
P1|2425|11/08/2024|Sp Braga|Estrela,2425,P1,1X2,A,7.5,6.5,0.12478583666476298,0.1431861979315142,1.8400361266751208,1.168558617582935,False,-1.0,-1.0
P1|2425|11/08/2024|Sp Braga|Estrela,2425,P1,OU2.5,Over,1.53,1.67,0.6106870229007634,0.5628272251308901,-4.785979776987325,-3.3791523482245123,False,-1.0,-1.0
P1|2425|11/08/2024|Sp Braga|Estrela,2425,P1,OU2.5,Under,2.4,2.15,0.3893129770992367,0.43717277486910994,4.785979776987325,3.379152348224518,True,1.4,1.15
P1|2425|12/08/2024|Arouca|Guimaraes,2425,P1,1X2,H,2.88,3.4,0.32710280373831774,0.27631578947368424,-5.0787014264633505,-5.421896670111698,False,-1.0,-1.0
