Season,League,Date,Time,Home,Away,HG,AG,Res,AvgCH,AvgCD,AvgCA
2022/2023,Primeira Liga,05/08/2022,20:15,Benfica,Arouca,4,0,H,1.13,8.25,19.24
2022/2023,Primeira Liga,06/08/2022,15:30,Rio Ave,Vizela,0,1,A,2.12,3.23,3.6
2022/2023,Primeira Liga,06/08/2022,18:00,Estoril,Famalicao,2,0,H,2.51,3.1,2.95
2022/2023,Primeira Liga,06/08/2022,20:30,Porto,Maritimo,5,1,H,1.16,7.39,16.26
2022/2023,Primeira Liga,07/08/2022,15:30,Santa Clara,Casa Pia,0,0,D,2.16,3.13,3.61
2022/2023,Primeira Liga,07/08/2022,18:00,Sp Braga,Sp Lisbon,3,3,D,4.01,3.49,1.91
2022/2023,Primeira Liga,07/08/2022,20:30,Chaves,Guimaraes,0,1,A,2.6,3.18,2.74
2022/2023,Primeira Liga,07/08/2022,20:30,Portimonense,Boavista,0,1,A,2.29,3.14,3.31
2022/2023,Primeira Liga,08/08/2022,20:15,Gil Vicente,Pacos Ferreira,1,0,H,1.99,3.29,3.94
2022/2023,Primeira Liga,12/08/2022,20:15,Famalicao,Sp Braga,0,3,A,3.87,3.64,1.91
2022/2023,Primeira Liga,13/08/2022,18:00,Casa Pia,Benfica,0,1,A,11.45,5.39,1.28
2022/2023,Primeira Liga,13/08/2022,20:30,Sp Lisbon,Rio Ave,3,0,H,1.21,6.48,13.87
2022/2023,Primeira Liga,14/08/2022,15:30,Boavista,Santa Clara,2,1,H,2.45,2.99,3.18
2022/2023,Primeira Liga,14/08/2022,18:00,Vizela,Porto,0,1,A,8.99,5.2,1.33
2022/2023,Primeira Liga,14/08/2022,20:30,Guimaraes,Estoril,1,0,H,2.08,3.27,3.71
2022/2023,Primeira Liga,15/08/2022,15:30,Maritimo,Chaves,1,2,A,2.13,3.27,3.57
2022/2023,Primeira Liga,15/08/2022,18:00,Arouca,Gil Vicente,1,0,H,2.86,3.2,2.52
