Season,League,Date,Time,Home,Away,HG,AG,Res,AvgCH,AvgCD,AvgCA
2022/2023,Scottish Premiership,30/07/2022,12:00,Livingston,Rangers,1,2,A,8.7,4.93,1.34
2022/2023,Scottish Premiership,30/07/2022,15:00,Hearts,Ross County,2,1,H,1.53,4.12,6.09
2022/2023,Scottish Premiership,30/07/2022,15:00,Kilmarnock,Dundee United,1,1,D,2.4,3.12,3.09
2022/2023,Scottish Premiership,30/07/2022,15:00,St Johnstone,Hibernian,0,1,A,3.31,2.99,2.35
2022/2023,Scottish Premiership,31/07/2022,15:00,St Mirren,Motherwell,0,1,A,2.4,3.07,3.13
2022/2023,Scottish Premiership,31/07/2022,16:30,Celtic,Aberdeen,2,0,H,1.19,6.99,13.16
2022/2023,Scottish Premiership,06/08/2022,15:00,Aberdeen,St Mirren,4,1,H,1.81,3.41,4.67
2022/2023,Scottish Premiership,06/08/2022,15:00,Motherwell,St Johnstone,1,2,A,2.22,3.06,3.51
2022/2023,Scottish Premiership,06/08/2022,15:00,Rangers,Kilmarnock,2,0,H,1.17,7.01,15.31
2022/2023,Scottish Premiership,06/08/2022,15:00,Ross County,Celtic,1,3,A,13.59,6.89,1.19
2022/2023,Scottish Premiership,07/08/2022,12:00,Hibernian,Hearts,1,1,D,2.63,3.14,2.76
2022/2023,Scottish Premiership,07/08/2022,15:00,Dundee United,Livingston,0,1,A,2.47,3.06,3.04
2022/2023,Scottish Premiership,13/08/2022,15:00,Aberdeen,Motherwell,2,3,A,1.71,3.59,5.08
2022/2023,Scottish Premiership,13/08/2022,15:00,Livingston,Hibernian,2,1,H,3.19,3.1,2.36
2022/2023,Scottish Premiership,13/08/2022,15:00,Rangers,St Johnstone,4,0,H,1.15,7.26,18.75
2022/2023,Scottish Premiership,13/08/2022,15:00,St Mirren,Ross County,1,0,H,2.38,3.13,3.12
2022/2023,Scottish Premiership,14/08/2022,12:00,Kilmarnock,Celtic,0,5,A,14.79,7.44,1.17
2022/2023,Scottish Premiership,14/08/2022,15:00,Hearts,Dundee United,4,1,H,1.51,4.13,6.42
2022/2023,Scottish Premiership,20/08/2022,12:30,Hibernian,Rangers,2,2,D,5.68,4.03,1.58
2022/2023,Scottish Premiership,20/08/2022,15:00,Dundee United,St Mirren,0,3,A,2.38,3.08,3.18
