Season,League,Date,Time,Home,Away,HG,AG,Res,AvgCH,AvgCD,AvgCA
2022/2023,LaLiga,12/08/2022,20:00,Osasuna,Sevilla,2,1,H,3.2,3.04,2.5
2022/2023,LaLiga,13/08/2022,16:00,Celta,Espanol,2,2,D,1.78,3.58,5
2022/2023,LaLiga,13/08/2022,18:00,Valladolid,Villarreal,0,3,A,3.45,3.39,2.19
2022/2023,LaLiga,13/08/2022,20:00,Barcelona,Vallecano,0,0,D,1.22,6.82,13.42
2022/2023,LaLiga,14/08/2022,16:30,Cadiz,Sociedad,0,1,A,3.8,3.07,2.2
2022/2023,LaLiga,14/08/2022,18:30,Valencia,Girona,1,0,H,1.9,3.51,4.3
2022/2023,LaLiga,14/08/2022,21:00,Almeria,Real Madrid,1,2,A,6.93,4.94,1.44
2022/2023,LaLiga,15/08/2022,16:30,Ath Bilbao,Mallorca,0,0,D,1.57,3.94,6.55
2022/2023,LaLiga,15/08/2022,18:30,Getafe,Ath Madrid,0,3,A,5.53,3.1,1.86
2022/2023,LaLiga,15/08/2022,20:30,Betis,Elche,3,0,H,1.58,4.06,6.06
2022/2023,LaLiga,19/08/2022,19:00,Espanol,Vallecano,0,2,A,2.6,3.01,3.08
2022/2023,LaLiga,19/08/2022,21:00,Sevilla,Valladolid,1,1,D,1.54,4.16,6.58
2022/2023,LaLiga,20/08/2022,16:30,Osasuna,Cadiz,2,0,H,1.92,3.27,4.58
2022/2023,LaLiga,20/08/2022,18:30,Mallorca,Betis,1,2,A,3.25,3.2,2.36
2022/2023,LaLiga,20/08/2022,21:00,Celta,Real Madrid,1,4,A,5.1,4.16,1.65
2022/2023,LaLiga,21/08/2022,16:30,Ath Bilbao,Valencia,1,0,H,1.69,3.7,5.54
2022/2023,LaLiga,21/08/2022,18:30,Ath Madrid,Villarreal,0,2,A,1.92,3.42,4.4
2022/2023,LaLiga,21/08/2022,21:00,Sociedad,Barcelona,1,4,A,3.62,3.49,2.08
2022/2023,LaLiga,22/08/2022,19:00,Elche,Almeria,1,1,D,2.38,3.22,3.21
2022/2023,LaLiga,22/08/2022,21:00,Girona,Getafe,3,1,H,2.37,2.88,3.67
2022/2023,LaLiga,26/08/2022,19:00,Girona,Celta,0,1,A,2.79,3.1,2.76
2022/2023,LaLiga,26/08/2022,21:00,Betis,Osasuna,1,0,H,1.85,3.58,4.51
2022/2023,LaLiga,27/08/2022,16:30,Elche,Sociedad,0,1,A,3.84,3.29,2.09
2022/2023,LaLiga,27/08/2022,18:30,Vallecano,Mallorca,0,2,A,2.05,3.26,4.03
2022/2023,LaLiga,27/08/2022,21:00,Almeria,Sevilla,2,1,H,3.52,3.34,2.18
2022/2023,LaLiga,28/08/2022,16:30,Getafe,Villarreal,0,0,D,5.11,3.68,1.74
2022/2023,LaLiga,28/08/2022,18:30,Barcelona,Valladolid,4,0,H,1.14,9.05,17.98
2022/2023,LaLiga,28/08/2022,21:00,Espanol,Real Madrid,1,3,A,6.38,4.61,1.49
2022/2023,LaLiga,29/08/2022,19:00,Cadiz,Ath Bilbao,0,4,A,3.96,3.22,2.09
2022/2023,LaLiga,29/08/2022,21:00,Valencia,Ath Madrid,0,1,A,4.24,3.35,1.97
2022/2023,LaLiga,02/09/2022,20:00,Celta,Cadiz,3,0,H,1.62,3.68,6.52
